Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Size,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost , Revenue 
12/1/2021,1,December,2021,44,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/1/2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/2/2021,2,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-400-w silver,42,1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
12/2/2021,2,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-400-w silver,46,2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
12/3/2021,3,December,2021,24,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/3/2021,3,December,2021,37,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/3/2021,3,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/4/2021,4,December,2021,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-400-w silver,42,4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
12/5/2021,5,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/5/2021,5,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/5/2021,5,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/5/2021,5,December,2021,42,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,mountain-200 black,38,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/6/2021,6,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/6/2021,6,December,2021,36,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 black,42,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/6/2021,6,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-400-w silver,46,3,$420.00 ,$769.00 ,"$1,047.00 ","$1,260.00 ","$2,307.00 "
12/6/2021,6,December,2021,47,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/7/2021,7,December,2021,30,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,mountain-400-w silver,38,4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
12/7/2021,7,December,2021,38,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-200 silver,42,2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
12/8/2021,8,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-500 black,42,1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
12/8/2021,8,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-500 silver,42,4,$308.00 ,$565.00 ,"$1,028.00 ","$1,232.00 ","$2,260.00 "
12/8/2021,8,December,2021,39,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,mountain-200 black,42,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/8/2021,8,December,2021,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,mountain-200 silver,38,4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
12/9/2021,9,December,2021,41,Adults (35-64),F,Germany,Hamburg,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/9/2021,9,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,mountain-100 black,38,2,"$1,898.00 ","$3,375.00 ","$2,954.00 ","$3,796.00 ","$6,750.00 "
12/10/2021,10,December,2021,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,mountain-500 black,40,1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
12/10/2021,10,December,2021,26,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/10/2021,10,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/10/2021,10,December,2021,34,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,mountain-100 silver,44,1,"$1,912.00 ","$3,400.00 ","$1,488.00 ","$1,912.00 ","$3,400.00 "
12/10/2021,10,December,2021,34,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,42,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/10/2021,10,December,2021,40,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 black,42,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/11/2021,11,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-400-w silver,46,1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
12/11/2021,11,December,2021,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-400-w silver,38,2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
12/11/2021,11,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/11/2021,11,December,2021,38,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/11/2021,11,December,2021,24,Youth (<25),F,France,Seine (Paris),Bikes,Mountain Bikes,mountain-200 black,38,3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
12/12/2021,12,December,2021,35,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/12/2021,12,December,2021,38,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/12/2021,12,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-400-w silver,46,4,$420.00 ,$769.00 ,"$1,396.00 ","$1,680.00 ","$3,076.00 "
12/12/2021,12,December,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 black,38,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/12/2021,12,December,2021,36,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 silver,42,4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
12/13/2021,13,December,2021,40,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-500 silver,40,1,$308.00 ,$565.00 ,$257.00 ,$308.00 ,$565.00 
12/13/2021,13,December,2021,44,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/13/2021,13,December,2021,49,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/13/2021,13,December,2021,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 silver,42,3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
12/14/2021,14,December,2021,32,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,mountain-400-w silver,46,1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
12/14/2021,14,December,2021,32,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/14/2021,14,December,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,mountain-200 silver,38,2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
12/15/2021,15,December,2021,29,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/16/2021,16,December,2021,27,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,mountain-200 silver,46,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/16/2021,16,December,2021,33,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 black,38,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/16/2021,16,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,mountain-200 black,38,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/17/2021,17,December,2021,31,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,mountain-400-w silver,42,1,$420.00 ,$769.00 ,$349.00 ,$420.00 ,$769.00 
12/17/2021,17,December,2021,42,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,mountain-200 silver,46,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/17/2021,17,December,2021,37,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,mountain-200 silver,38,2,"$1,266.00 ","$2,320.00 ","$2,108.00 ","$2,532.00 ","$4,640.00 "
12/18/2021,18,December,2021,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-500 silver,42,4,$308.00 ,$565.00 ,"$1,028.00 ","$1,232.00 ","$2,260.00 "
12/18/2021,18,December,2021,26,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/18/2021,18,December,2021,26,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,mountain-400-w silver,42,3,$420.00 ,$769.00 ,"$1,047.00 ","$1,260.00 ","$2,307.00 "
12/18/2021,18,December,2021,36,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/18/2021,18,December,2021,39,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-200 black,42,3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
12/18/2021,18,December,2021,24,Youth (<25),F,France,Seine Saint Denis,Bikes,Mountain Bikes,mountain-200 silver,38,3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
12/18/2021,18,December,2021,38,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,mountain-200 silver,46,4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
12/19/2021,19,December,2021,18,Youth (<25),M,Australia,South Australia,Bikes,Mountain Bikes,mountain-500 black,40,2,$295.00 ,$540.00 ,$490.00 ,$590.00 ,"$1,080.00 "
12/19/2021,19,December,2021,19,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,mountain-500 black,44,4,$295.00 ,$540.00 ,$980.00 ,"$1,180.00 ","$2,160.00 "
12/19/2021,19,December,2021,39,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/19/2021,19,December,2021,56,Adults (35-64),F,Germany,Hessen,Bikes,Mountain Bikes,mountain-200 black,46,2,"$1,252.00 ","$2,295.00 ","$2,086.00 ","$2,504.00 ","$4,590.00 "
12/19/2021,19,December,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,mountain-200 black,38,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/19/2021,19,December,2021,37,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,mountain-200 black,38,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/19/2021,19,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-200 black,46,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/19/2021,19,December,2021,63,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 black,46,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/19/2021,19,December,2021,17,Youth (<25),M,France,Nord,Bikes,Mountain Bikes,mountain-200 silver,46,4,"$1,266.00 ","$2,320.00 ","$4,216.00 ","$5,064.00 ","$9,280.00 "
12/19/2021,19,December,2021,35,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,mountain-100 black,48,4,"$1,898.00 ","$3,375.00 ","$5,908.00 ","$7,592.00 ","$13,500.00 "
12/20/2021,20,December,2021,29,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,mountain-500 black,52,3,$295.00 ,$540.00 ,$735.00 ,$885.00 ,"$1,620.00 "
12/20/2021,20,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/20/2021,20,December,2021,35,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/20/2021,20,December,2021,57,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 black,46,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
12/20/2021,20,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,mountain-100 black,38,4,"$1,898.00 ","$3,375.00 ","$5,908.00 ","$7,592.00 ","$13,500.00 "
12/21/2021,21,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,mountain-400-w silver,46,2,$420.00 ,$769.00 ,$698.00 ,$840.00 ,"$1,538.00 "
12/21/2021,21,December,2021,26,Young Adults (25-34),M,France,Somme,Bikes,Mountain Bikes,mountain-200 silver,38,3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
12/22/2021,22,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,mountain-500 silver,42,1,$308.00 ,$565.00 ,$257.00 ,$308.00 ,$565.00 
12/22/2021,22,December,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,mountain-200 black,38,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/22/2021,22,December,2021,27,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,mountain-200 black,46,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/22/2021,22,December,2021,41,Adults (35-64),M,Germany,Hessen,Bikes,Mountain Bikes,mountain-200 silver,38,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/22/2021,22,December,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,mountain-200 black,42,3,"$1,252.00 ","$2,295.00 ","$3,129.00 ","$3,756.00 ","$6,885.00 "
12/22/2021,22,December,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,mountain-200 silver,38,3,"$1,266.00 ","$2,320.00 ","$3,162.00 ","$3,798.00 ","$6,960.00 "
12/23/2021,23,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,mountain-500 black,42,1,$295.00 ,$540.00 ,$245.00 ,$295.00 ,$540.00 
12/23/2021,23,December,2021,31,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,mountain-200 black,42,1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
12/23/2021,23,December,2021,30,Young Adults (25-34),F,United States,Oregon,Bikes,Mountain Bikes,mountain-200 silver,42,1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
12/24/2021,24,December,2021,38,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,mountain-200 black,42,4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
